"zipcode","city","list","list_number"
4053,"Chaudfontaine","UP!",
4990,"Lierneux","ENSEMBLE",
1480,"Tubize","RC",
6720,"Habay","ECOLO",
4900,"Spa","WI",
,"Erezée","VIVR'ACTION",
5060,"Sambreville","MR & Citoyens",
5000,"Namur","PS",
4100,"Seraing","MR",
7387,"Honnelles","HD",
1350,"Orp-Jauche","UP",
5590,"Ciney","ICI ",
4800,"Verviers","LA DROITE",
5190,"Jemeppe-sur-Sambre","DéFI",
1450,"Chastre","Chastre20+",
7080,"Frameries","AGIR",
4620,"Fléron","ECOLO",
5300,"Andenne","Le Renouveau",
5540,"Hastière","En avant",
1440,"Braine-le-Château","ECOLO",
4430,"Ans","PVE",
5620,"Florennes","CONTACT 21",
7100,"La Louvière","PP",
1150,"Woluwe-Saint-Pierre","OPEN MR",12
6280,"Gerpinnes","CDH",
6640,"Vaux-sur-Sûre","BOURGMESTRE",
6700,"Arlon","Pour vouS",
7080,"Frameries","PTB",
6600,"Bastogne","PP",
7160,"Chapelle-lez-Herlaimont","Go ! Chapelle",
4180,"Hamoir","ICOM",
7972,"Beloeil","POUR LAVENIR",
5030,"Gembloux","PS",
4600,"Visé","MR",
7618,"Rumes","PS",
4100,"Seraing","PP",
,"Saint-Nicolas (liège)","PTB",
4820,"Dison","PS",
4570,"Marchin","M-R",
1160,"Auderghem","LISTE CITOYENNE 1176",1
6600,"Bastogne","ALTERNATIVE(S)",
4350,"Remicourt","PRS",
5560,"Houyet","MOTIV'Action",
7320,"Bernissart","PS",
4530,"Villers-le-Bouillet","ENSEMBLE",
1380,"Lasne","MR - IC",
1070,"Anderlecht","NATION",14
5570,"Beauraing","INT. CITOYENS",
1180,"Uccle","N-VA",8
4250,"Geer","IC",
7940,"Brugelette","O.C",
1357,"Hélécine","UC",
7890,"Ellezelles","PS",
6880,"Bertrix","ECOLO",
4120,"Neupré","MR",
7100,"La Louvière","CUM LUPIS",
,"Ecaussinnes","VÉ",
7380,"Quiévrain","PS",
5060,"Sambreville","LA DROITE",
4280,"Hannut","liste MayeuR",
4287,"Lincent","MR-cdH-ECOLO",
5680,"Doische","CD@",
6000,"Charleroi","AGIR",
6960,"Manhay","ENSEMBLE",
7180,"Seneffe","AC+",
4130,"Esneux","MR",
1160,"Auderghem","LISTE CITOYENNE 1166",1
7000,"Mons","DéFI",
1390,"Grez-Doiceau","équipe",
5537,"Anhée","Anhée vers +",
7911,"Frasnes-lez-Anvaing","MR",
7160,"Chapelle-lez-Herlaimont","ECOLO",
7830,"Silly","PS",
6000,"Charleroi","PTB",
4367,"Crisnée","Code 4367 !",
5377,"Somme-Leuze","AUTREMENT",
5660,"Couvin","CVN ",
7880,"Flobecq","MR",
5600,"Philippeville","Agir Ensemble",
4890,"Thimister-Clermont","TC",
7870,"Lens","PS",
7870,"Lens","Citoyen Lens",
4190,"Ferrières","Envie Commune",
6747,"Saint-Léger","Mayeur",
1080,"Molenbeek-Saint-Jean","CDH-CD&V+",1
6820,"Florenville","C.U.P.",
1080,"Molenbeek-Saint-Jean","PS sp.a",5
6230,"Pont-à-Celles","CDH",
6280,"Gerpinnes","DEMAIN",
4530,"Villers-le-Bouillet","VIDEM",
4190,"Ferrières","FCC",
7911,"Frasnes-lez-Anvaing","H. CITOYEN",
6220,"Fleurus","PS",
4430,"Ans","WI",
1310,"La Hulpe","LB",
7730,"Estaimpuis","PP",
4040,"Herstal","Vert Herstal",
4347,"Fexhe-le-Haut-Clocher","Liste Mayeur",
4530,"Villers-le-Bouillet","GénérationS4530",
1180,"Uccle","MR",12
4980,"Trois-Ponts","AVEC VOUS",
5660,"Couvin","C.H.E",
7500,"Tournai","MR",
4684,"Oupeye","PS",
6120,"Ham-sur-Heure-Nalinnes","OXY+",
7900,"Leuze-en-Hainaut","MR",
7060,"Soignies","PS",
6600,"Bastogne","CITOYENS +",
1070,"Anderlecht","PTB*PVDA",9
,"Mont-de-l'Enclus","ACE",
1090,"Jette","VLAAMS BELANG",3
6850,"Paliseul","Action",
1080,"Molenbeek-Saint-Jean","DéFI",4
5500,"Dinant","LDB",
1080,"Molenbeek-Saint-Jean","ISLAM",14
7850,"Enghien","En Mouvement",
7800,"Ath","ECOLO",
,,"ALTERNATIVE",
4053,"Chaudfontaine","DéFI",
6000,"Charleroi","C+",
6750,"Musson","VIVR'ENSEMBLE",
7170,"Manage","MR",
6870,"Saint-Hubert","NATION",
1081,"Koekelberg","PS",5
4280,"Hannut","PS",
6500,"Beaumont","ARC ",
4670,"Blegny","MR",
7700,"Mouscron","CDH",
6870,"Saint-Hubert","DYN@M'IC",
5150,"Floreffe","PS",
7940,"Brugelette","LM",
4470,"Saint-Georges-sur-Meuse","ECOLO",
6730,"Tintigny","PASSION COMMUNE",
6110,"Montigny-le-Tilleul","PS",
6530,"Thuin","DéFI",
1400,"Nivelles","CDH-Ensemble",
1370,"Jodoigne","J'M",
4557,"Tinlot","IC",
4400,"Flémalle","AC3",
4350,"Remicourt","CM",
4630,"Soumagne","ICI Soumagne",
1190,"Forest","PTB*PVDA",9
4450,"Juprelle","IC",
1340,"Ottignies-Louvain-la-Neuve","ECOLO",
5670,"Viroinval","POUR",
4260,"Braives","PP",
5575,"Gedinne","ECOLO & MC",
1200,"Woluwe-Saint-Lambert","WolHu",1
4340,"Awans","PS",
,"Court-Saint-Etienne","PluS",
7890,"Ellezelles","MR",
6760,"Virton","CITOYENS",
4837,"Baelen","Alternative",
6900,"Marche-en-Famenne","PS",
1430,"Rebecq","ECA",
4120,"Neupré","PS",
4000,"Liège","VEGA",
6000,"Charleroi","CA",
7320,"Bernissart","6tem-ic",
6940,"Durbuy","BOURGMESTRE",
1081,"Koekelberg","N-VA",8
1330,"Rixensart","PROXIMITÉ",
6660,"Houffalize","L'ESSENTIEL",
5640,"Mettet","MR",
1160,"Auderghem","MR-OpenVLD",12
4987,"Stoumont","Stoumont Dem",
5670,"Viroinval","RéCit",
4130,"Esneux","PS",
6791,"Aubange","IG",
1180,"Uccle","UCCLE EN AVANT",13
1083,"Ganshoren","ENSEMBLE-SAMENCARTHÉ",5
,"Berchem","ECOLO-GROEN",2
4218,"Héron","VousHéron",
4845,"Jalhay","MR-IC-EJS",
4257,"Berloz","PS-#",
6840,"Neufchâteau","3ème Piste",
1340,"Ottignies-Louvain-la-Neuve","KAYOUX",
7940,"Brugelette","BE",
1340,"Ottignies-Louvain-la-Neuve","OLLN 2.0-MR",
1030,"Schaerbeek","LISTE BOURGMESTRE",4
1080,"Molenbeek-Saint-Jean","LISTE BOURGMESTRE (LB)",12
4100,"Seraing","PS",
4280,"Hannut","H+",
6470,"Sivry-Rance","PP",
5000,"Namur","MR",
4820,"Dison","PP",
7380,"Quiévrain","Changer",
1435,"Mont-Saint-Guibert","LLC",
7800,"Ath","DéFI",
7740,"Pecq","Pecq Autrement",
4900,"Spa","S.P.A",
1210,"Saint-Josse-Ten-Noode","DéFI",4
1357,"Hélécine","C.H",
6240,"Farciennes","FARCITOYENNE ",
1350,"Orp-Jauche","PACTE",
4980,"Trois-Ponts","ENSEMBLE",
6890,"Libin","HORIZON 2024",
4670,"Blegny","ICdh",
1050,"Ixelles","N-VA",8
6180,"Courcelles","CDH",
7140,"Morlanwelz","AGIR",
1030,"Schaerbeek","ECOLO-GROEN",2
5363,"Hamois","Ensemble 2018",
1050,"Ixelles","Liste La Bourgmestre",12
6540,"Lobbes","ECOLO",
1435,"Mont-Saint-Guibert","MSG Cohésion",
4400,"Flémalle","WI",
4607,"Dalhem","DalhemDemain",
4600,"Visé","PS",
5030,"Gembloux","MR",
5070,"Fosses-la-Ville","ECOLO",
6530,"Thuin","ECOLO",
5000,"Namur","PP",
6250,"Aiseau-Presles","ENSEMBLE",
6830,"Bouillon","C@P Citoyens",
7170,"Manage","EC",
5530,"Yvoir","EPY",
4820,"Dison","MR",
6987,"Rendeux","A,aV",
7100,"La Louvière","PS",
,"Ecaussinnes","ACÉ",
4460,"Grâce-Hollogne","ECOLO",
1340,"Ottignies-Louvain-la-Neuve","DéFI",
7730,"Estaimpuis","Pour Vous !",
1390,"Grez-Doiceau","DéFI Citoyens",
6950,"Nassogne","ENSEMBLE",
4260,"Braives","EC",
1000,"Bruxelles","VLAAMS BELANG",3
7370,"Dour","DOUR DEMAIN",
,"Berchem","Open MR",12
1430,"Rebecq","ECOLO",
4690,"Bassenge","ECOLO",
1083,"Ganshoren","PROGANSHOREN",1
6000,"Charleroi","LA DROITE",
4557,"Tinlot","TP",
4800,"Verviers","CDH",
1150,"Woluwe-Saint-Pierre","DéFI pour Woluwe 1150",4
1190,"Forest","DéFI",4
7170,"Manage","PS",
7300,"Boussu","AGORA",
7740,"Pecq","Community",
4340,"Awans","PP",
4670,"Blegny","PS",
6590,"Momignies","AC",
6750,"Musson","Horizon 2024",
7640,"Antoing","UCA",
1480,"Tubize","PIRATE",
4960,"Malmedy","ECm",
1090,"Jette","PS - sp.a",5
6110,"Montigny-le-Tilleul","MR",
4900,"Spa","Alternative-plus",
4000,"Liège","CDH",
5540,"Hastière","Avenir",
5330,"Assesse","Acor+",
6680,"Sainte-Ode","COM. PASSION",
1080,"Molenbeek-Saint-Jean","PTB*PVDA",9
4560,"Clavier","ENSEMBLE",
6720,"Habay","Pour Habay",
1083,"Ganshoren","DéFI",4
7300,"Boussu","LA DROITE",
1320,"Beauvechain","B. ENSEMBLE",
1070,"Anderlecht","DéFI",4
4684,"Oupeye","PP",
7740,"Pecq","ActionS",
7080,"Frameries","LA DROITE",
7740,"Pecq","GO",
4000,"Liège","PTB",
6530,"Thuin","Oxygène",
6791,"Aubange","CDH.com",
7000,"Mons","ECOLO",
1180,"Uccle","PS",5
6220,"Fleurus","FLEUR""U""",
4480,"Engis","E+",
4350,"Remicourt","R-Renouveau",
7800,"Ath","DM",
7370,"Dour","ECOLO",
7500,"Tournai","PS",
6780,"Messancy","ICM",
4287,"Lincent","LRPS",
7170,"Manage","UPM",
1170,"Watermael-Boitsfort","X²YZ",13
1050,"Ixelles","OBJECTIF XL",1
7170,"Manage","CDH ET PLUS ",
7900,"Leuze-en-Hainaut","PS",
4800,"Verviers","PTB",
7060,"Soignies","MR",
1160,"Auderghem","LISTE CITOYENNE 1177",1
7780,"Comines-Warneton","MCI",
4550,"Nandrin","VIVRE NANDRIN",
6637,"Fauvillers","LE RENOUVEAU",
4550,"Nandrin","Pour Nandrin",
4000,"Liège","AGIR",
4317,"Faimes","EDF",
7972,"Beloeil","L'essentiel",
7870,"Lens","Lens & Vous",
1050,"Ixelles","ECOLO - GROEN",2
6850,"Paliseul","BOURGMESTRE",
7500,"Tournai","PTB",
1480,"Tubize","DéFI",
7340,"Colfontaine","Oxygène",
7700,"Mouscron","MR",
6000,"Charleroi","OXYGENE",
,"Berchem","N-VA",8
6990,"Hotton","E.C.",
4800,"Verviers","PS",
6970,"Tenneville","IC Tenneville",
7090,"Braine-le-Comte","PS",
1090,"Jette","DéFI",4
6800,"Libramont-Chevigny","Libr@Vous",
6690,"Vielsalm","ECOLO",
5560,"Houyet","ADN",
7050,"Jurbise","ALTERNATIVE",
7700,"Mouscron","PP",
1160,"Auderghem","LISTE CITOYENNE 1174",1
6887,"Herbeumont","Action",
4000,"Liège","PS",
5530,"Yvoir","La Relève",
6200,"Châtelet","ECOLO",
1370,"Jodoigne","UC",
4500,"Huy","VLC",
1160,"Auderghem","LISTE CITOYENNE 1170",1
1081,"Koekelberg","ECOLO-GROEN",2
,"Eghezée","LDP",
6200,"Châtelet","RC",
7170,"Manage","AGIR",
5060,"Sambreville","PS",
1070,"Anderlecht","MR-Open Vld-IC",12
1400,"Nivelles","LA DROITE",
7972,"Beloeil","NATION",
5530,"Yvoir","LB",
1350,"Orp-Jauche","Citoyen d'Europe M3E",
1040,"Etterbeek","Ecolo-Groen",2
,"Court-Saint-Etienne","OXYGENE",
1160,"Auderghem","LISTE CITOYENNE 1165",1
1060,"Saint-Gilles","B.U.B.",13
,"Eghezée","EPV",
6791,"Aubange","TPA",
6230,"Pont-à-Celles","MR",
6210,"Les Bons Villers","ECOLO",
1160,"Auderghem","LISTE CITOYENNE 1175",1
1140,"Evere","DéFI",4
1150,"Woluwe-Saint-Pierre","PS+sp.a",5
6180,"Courcelles","BOURGMESTRE",
7390,"Quaregnon","PS",
1030,"Schaerbeek","N-VA",8
4990,"Lierneux","Lx en Mieux !",
5520,"Onhaye","ECI",
6460,"Chimay","BOUGE",
1170,"Watermael-Boitsfort","NOSVOTES",14
7780,"Comines-Warneton","ECOLO",
4430,"Ans","CDH-RCA",
1180,"Uccle","CDH",1
1160,"Auderghem","LISTE CITOYENNE 1181",1
6230,"Pont-à-Celles","PP",
4357,"Donceel","IC",
7620,"Brunehaut","U.S.B",
6820,"Florenville","VivrEnsemble",
4600,"Visé","PTB",
4430,"Ans","ECOLO",
7080,"Frameries","MR",
4100,"Seraing","AGIR",
1310,"La Hulpe","DéFI",
4000,"Liège","PVC",
,"Saint-Nicolas (liège)","MR",
6440,"Froidchapelle","EC",
7140,"Morlanwelz","PS",
7050,"Jurbise","Humanistes",
4990,"Lierneux","POUR TOUS",
7300,"Boussu","MR",
7100,"La Louvière","PTB",
1060,"Saint-Gilles","QQVF",15
1000,"Bruxelles","PTB*PVDA",9
4845,"Jalhay","JSD",
1160,"Auderghem","LISTE CITOYENNE 1179",1
6200,"Châtelet","moDem",
5363,"Hamois","ECOLO",
6700,"Arlon","MR",
4100,"Seraing","PTB",
,"Saint-Nicolas (liège)","PP",
6530,"Thuin","IC",
,"Meix-Devant-Virton","MAÏEUR",
4620,"Fléron","MPE",
4340,"Awans","ULP",
7080,"Frameries","PP",
7340,"Colfontaine","C.PLUS",
1460,"Ittre","IC",
1060,"Saint-Gilles","PTB*PVDA",9
6590,"Momignies","NATION",
4870,"Trooz","Bourgmestre",
6750,"Musson","ECHO",
7100,"La Louvière","AGIR",
4210,"Burdinne","UPB",
7300,"Boussu","PP",
4910,"Theux","PP",
1160,"Auderghem","LISTE CITOYENNE 1186",1
4550,"Nandrin","TE",
7950,"Chièvres","MR",
7130,"Binche","ECOLO",
6180,"Courcelles","PS",
1030,"Schaerbeek","PS-sp.a",5
6560,"Erquelinnes","LA DROITE",
1030,"Schaerbeek","MR & CITOYENS",12
7940,"Brugelette","Les Communaux",
4590,"Ouffet","AGIR ENSEMBLE ",
4280,"Hannut","LA DROITE",
4500,"Huy","ECOLO",
1160,"Auderghem","LISTE CITOYENNE 1167",1
1160,"Auderghem","LISTE CITOYENNE 1178",1
7860,"Lessines","DéFI",
5140,"Sombreffe","DéFI",
4100,"Seraing","CDH",
6850,"Paliseul","Pour Vous",
6000,"Charleroi","MR",
6250,"Aiseau-Presles","PS",
6690,"Vielsalm","COMM'VOUS",
5070,"Fosses-la-Ville","UD",
6630,"Martelange","MVE",
4430,"Ans","DéFI pour ANS",
6700,"Arlon","ECOLO+",
6940,"Durbuy","Comm1Passion",
1040,"Etterbeek","LB-LISTE BOURGMESTRE",6
5060,"Sambreville","DEFI",
4600,"Visé","OUI Visé",
1370,"Jodoigne","ECOLO",
5600,"Philippeville","ECOLO",
4430,"Ans","NATION",
6000,"Charleroi","PP",
4317,"Faimes","ADF",
4350,"Remicourt","EC 2.0",
4820,"Dison","MPE",
4430,"Ans","PS",
6690,"Vielsalm","BOURGMESTRE",
5340,"Gesves","RPG plus",
1170,"Watermael-Boitsfort","GÉNÉRATIONS Humanistes",1
4960,"Malmedy","Alternative",
1040,"Etterbeek","PS-sp.a+",5
5330,"Assesse","SAD",
4053,"Chaudfontaine","AGIR",
6230,"Pont-à-Celles","DéFI",
,"Fontaine-l'Evêque","UB",
7350,"Hensies","E Bourgmestre",
4460,"Grâce-Hollogne","PTB",
6660,"Houffalize","G&S",
1435,"Mont-Saint-Guibert","Tous Ensemble",
1160,"Auderghem","SAMEN",13
1083,"Ganshoren","ECOLO-GROEN",2
6850,"Paliseul","ECOLO",
1060,"Saint-Gilles","Liste du Bourgmestre",5
1160,"Auderghem","LISTE CITOYENNE 1191",1
6880,"Bertrix","ACTION",
1140,"Evere","MR",12
7800,"Ath","LISTE ATHOISE",
7120,"Estinnes","GP",
1030,"Schaerbeek","CITOYEN D'EUROPE M3E",13
4160,"Anthisnes","PS-IC",
5680,"Doische","MR-IC",
1050,"Ixelles","PS - sp.a",5
4830,"Limbourg","Limbourg*oise",
4470,"Saint-Georges-sur-Meuse","Pro Citoyens",
7050,"Jurbise","LB",
5600,"Philippeville","Phil'Citoyens",
7340,"Colfontaine","PS",
6150,"Anderlues","AJC",
6800,"Libramont-Chevigny","Chevi2018",
1480,"Tubize","MR",
4500,"Huy","PS",
,"Berchem","PS-sp.a+",5
7370,"Dour","J.A.U.R.E.S.",
7140,"Morlanwelz","M+",
7940,"Brugelette","ECOLO",
5560,"Houyet","UV",
6180,"Courcelles","ECOLO",
5380,"Fernelmont","LDB+",
4607,"Dalhem","RENOUVEAU",
1325,"Chaumont-Gistoux","Villages",
7130,"Binche","PS",
4170,"Comblain-au-Pont","ECOLO",
6830,"Bouillon","ENSEMBLE",
7600,"Péruwelz","RPP",
1080,"Molenbeek-Saint-Jean","Citoyen d'Europe M3E",13
1450,"Chastre","Chastre@venir",
6250,"Aiseau-Presles","ECOLO",
7730,"Estaimpuis","PS-LB",
4180,"Hamoir","PdH",
4850,"Plombières","OCP",
4140,"Sprimont","MCS Citoyen",
4870,"Trooz","MR-ELD",
1190,"Forest","ECOLO-GROEN",2
7880,"Flobecq","L B L C P",
6150,"Anderlues","DéFI",
1090,"Jette","MR",12
7870,"Lens","MDC",
4160,"Anthisnes","CiM",
7900,"Leuze-en-Hainaut","Idées",
1480,"Tubize","PP",
6687,"Bertogne","AVEC VOUS",
1470,"Genappe","PP",
5350,"Ohey","Pour Ohey",
5600,"Philippeville","PS",
6220,"Fleurus","E+",
6540,"Lobbes","CDH",
7350,"Hensies","Osonschanger",
6240,"Farciennes","La Droite ",
1435,"Mont-Saint-Guibert","MSG ",
1210,"Saint-Josse-Ten-Noode","CDH + Indépendant",1
1170,"Watermael-Boitsfort","PP Parti Populaire",15
4190,"Ferrières","RpF",
1040,"Etterbeek","VOLT BELGIË-BELGIQUE",13
1040,"Etterbeek","DéFI",4
6460,"Chimay","#NAME?",
4257,"Berloz","ECOLO",
7620,"Brunehaut","En Marge",
1150,"Woluwe-Saint-Pierre","Liste du Bourgmestre",1
7000,"Mons","PTB",
5570,"Beauraing","VERT DEMAIN",
6590,"Momignies","I.C",
5550,"Vresse-sur-Semois","ECD",
7390,"Quaregnon","Q W DEMAIN",
7090,"Braine-le-Comte","ECOLO",
6180,"Courcelles","Défi",
7100,"La Louvière","PLUS & CDH",
7850,"Enghien","MR",
6000,"Charleroi","DéFI",
4800,"Verviers","ECOLO",
6240,"Farciennes","PS",
6810,"Chiny","Député-Maire",
6671,"Gouvy","ROC 2018",
1380,"Lasne","ECOLO",
4357,"Donceel","RENOUVEAU",
1070,"Anderlecht","CD&V Plus",7
7972,"Beloeil","PS",
7880,"Flobecq","Respect",
1140,"Evere","N-VA",8
1210,"Saint-Josse-Ten-Noode","ECOLO-GROEN",2
7860,"Lessines","PP",
7860,"Lessines","MR - ENSEMBLE",
4400,"Flémalle","MR",
6200,"Châtelet","PS",
4560,"Clavier","I.C.",
1160,"Auderghem","LISTE CITOYENNE 1190",1
1160,"Auderghem","LISTE CITOYENNE 1163",1
1200,"Woluwe-Saint-Lambert","ECOLO-GROEN",2
6210,"Les Bons Villers","Citoyens",
1080,"Molenbeek-Saint-Jean","Molenbeek act",15
6250,"Aiseau-Presles","ACAP6250",
,"Braine-l'Alleud","DéFI",4
4650,"Herve","PS",
6470,"Sivry-Rance","Ensemble",
5060,"Sambreville","ECOLO",
1480,"Tubize","éB",
7640,"Antoing","GO",
5620,"Florennes","Ad 11",
4910,"Theux","IFR",
6687,"Bertogne","GC",
6900,"Marche-en-Famenne","Mayeur CDH",
4987,"Stoumont","VivrEnsemble",
1070,"Anderlecht","LA DROITE",13
4367,"Crisnée","PS+",
7780,"Comines-Warneton","PS",
7000,"Mons","Mons en Mieux!",
4845,"Jalhay","Ch-Ensemble",
4650,"Herve","EPH",
4800,"Verviers","NATION",
6747,"Saint-Léger","Ecout@",
4260,"Braives","B.A.s.e.",
6830,"Bouillon","ALTERNATIVE",
1000,"Bruxelles","PS",5
6210,"Les Bons Villers","PS",
4360,"Oreye","PS",
,"Ecaussinnes","MR-CHE",
1435,"Mont-Saint-Guibert","ECOLO",
1090,"Jette","N-VA",8
7100,"La Louvière","LuttOuvrière",
1030,"Schaerbeek","CDH-CD&V+",1
6760,"Virton","CDH",
5580,"Rochefort","ECOLO",
4600,"Visé","Visons DEMAIN",
1330,"Rixensart","ECOLO",
7170,"Manage","ECOLO",
5630,"Cerfontaine","MR-IC",
5660,"Couvin","ECOLO",
7800,"Ath","MR",
5000,"Namur","DéFI",
6671,"Gouvy","ENSEMBLE",
4350,"Remicourt","Horizon",
4690,"Bassenge","PS",
4990,"Lierneux","L.d. Mayeur @ Vous",
5170,"Profondeville","MICS",
1083,"Ganshoren","N-VA",8
4880,"Aubel","AUBEL DEMAIN",
1070,"Anderlecht","N-VA",8
4260,"Braives","ECOLO",
7850,"Enghien","Ensemble Engh.",
5500,"Dinant","DINANT",
1340,"Ottignies-Louvain-la-Neuve","PP",
7500,"Tournai","NATION",
4860,"Pepinster","PS / Vivre Pep.",
6950,"Nassogne","DcM",
4460,"Grâce-Hollogne","rcGH",
6717,"Attert","ENSEMBLE",
,"Ecaussinnes","Ensemble",
1200,"Woluwe-Saint-Lambert","PS-sp.a",5
7600,"Péruwelz","MR - IC",
6940,"Durbuy","ECOLO",
5030,"Gembloux","DéFI",
5140,"Sombreffe","IC - MR",
4600,"Visé","Ensemble!",
1340,"Ottignies-Louvain-la-Neuve","LOCaLe",
5600,"Philippeville","Phil Demain",
5670,"Viroinval","NATION",
5580,"Rochefort","CAP 2030 - IC",
5380,"Fernelmont","EPF",
1357,"Hélécine","OCH",
7000,"Mons","Citoyens",
7830,"Silly","SENS",
4920,"Aywaille","Ensemble",
4570,"Marchin","GCR",
4257,"Berloz","IC",
1430,"Rebecq","O.C.",
6637,"Fauvillers","Fauvillers Demain",
6870,"Saint-Hubert","PP",
4360,"Oreye","ENSEMBLE",
1081,"Koekelberg","CITOYEN D'EUROPE M3E",14
1320,"Beauvechain","ECOLO",
6980,"La Roche-en-Ardenne","Vision@Venir",
1400,"Nivelles","DéFI",
1315,"Incourt","EPI",
4040,"Herstal","PTB",
7780,"Comines-Warneton","ENSEMBLE",
4970,"Stavelot","CitoyenS!",
