lastname,firstname,nickname,party,city_fr,city_nl,zipcode,cumuls_2017,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,cumuleo_url
Albrecht,Johan,x,sp.a,Alveringem,Alveringem,8690,6,oui,oui,oui,,,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/9190-johan-albrecht.php
Albrecht,Robert,x,sp.a,Zonhoven,Zonhoven,3520,2,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/13638-robert-albrecht.php
Alci,Ali,x,sp.a,Sint-Niklaas,Sint-Niklaas,9100,3,oui,oui,oui,oui,oui,,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/9186-ali-alci.php
Aldric,Jean-Marc,x,PS,Perwez,Perwijs,1360,6,oui,oui,oui,oui,oui,oui,,,,,,,,,https://www.cumuleo.be/mandataire/12806-jean-marc-aldric.php
Alen,Francis,x,PS,Tellin,Tellin,6927,2,oui,oui,oui,oui,oui,oui,,,,,,,,,https://www.cumuleo.be/mandataire/12807-francis-alen.php
Alev,Nebih,x,PS,Morlanwelz,Morlanwelz,7140,10,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,https://www.cumuleo.be/mandataire/9181-nebih-alev.php
Allard,Elke,x,sp.a,Geetbets,Geetbets,3450,3,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/13640-elke-allard.php
Allard,Etienne,x,MR,Namur,Namen,5000,8,oui,oui,oui,oui,oui,,,,,,,oui,oui,oui,https://www.cumuleo.be/mandataire/10416-etienne-allard.php
Allard,Jacques,x,MR,Fexhe-le-Haut-Clocher,Fexhe-le-Haut-Clocher,4347,6,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/9174-jacques-allard.php
Allelyn,Bernard,x,x,Herve,Herve,4650,4,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/13641-bernard-allelyn.php
Alleman,Marleen,x,N-VA,Ypres,Ieper,8900,7,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/13642-marleen-alleman.php
Alles,Andre,x,Open VLD,Kortenaken,Kortenaken,3470,5,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/9167-andre-alles.php
Amand,Gil,x,PS,Honnelles,Honnelles,7387,16,oui,oui,oui,oui,oui,oui,,,,,,,,,https://www.cumuleo.be/mandataire/12808-gil-amand.php
Amand,Jean-Marie,x,PS,Bruxelles,Brussel,1000,14,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/13643-jean-marie-amand.php
Ameel,Filiep,x,x,Moorslede,Moorslede,8890,3,oui,oui,,,,,,,,,,,,,https://www.cumuleo.be/mandataire/16431-filiep-ameel.php
Amelynck,Gerard,x,x,Zwevegem,Zwevegem,8550,5,oui,oui,oui,oui,oui,oui,oui,oui,,,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/10966-gerard-amelynck.php
Amieva Acebo,Raphaël,x,cdH,Crisnée,Crisnée,4367,4,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,https://www.cumuleo.be/mandataire/9157-raphael-amieva-acebo.php
Amorison,Lise,x,cdH,Beloeil,Beloeil,7972,6,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,https://www.cumuleo.be/mandataire/9156-lise-amorison.php
Ampe,Els,x,Open VLD,Bruxelles,Brussel,1000,7,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/9265-els-ampe.php
Ampoorter,Dirk,x,sp.a,Koekelare,Koekelare,8680,4,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/9153-dirk-ampoorter.php
Amrani,Mustafa,x,PS,Bruxelles,Brussel,1000,9,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/9152-mustafa-amrani.php
Ams,Alina,x,CD&V,Schelle,Schelle,2627,4,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/9151-alina-ams.php
