lastname,firstname,nickname,party,city_fr,city_nl,zipcode,cumuls_2017,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,cumuleo_url
Lemarchand,Pierre,x,MR,Theux,Theux,4910,7,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,https://www.cumuleo.be/mandataire/4333-pierre-lemarchand.php
Lemesre,Marion,x,MR,Bruxelles,Brussel,1000,18,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/4331-marion-lemesre.php
Lemey,Eric,x,N-VA,Kuurne,Kuurne,8520,2,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/4330-eric-lemey.php
Lemiez,Matthieu,x,cdH,Honnelles,Honnelles,7387,6,oui,oui,oui,,oui,oui,,,,,,,,,https://www.cumuleo.be/mandataire/13207-matthieu-lemiez.php
Lemmens,Alfons,x,sp.a,Tielt-Winge,Tielt-Winge,3390,12,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/4329-alfons-lemmens.php
Lemmens,André,x,MR,Les Bons Villers,Les Bons Villers,6210,10,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/4328-andre-lemmens.php
Lemmens,Christine,Christine Janssens-Lemmens,x,Wemmel,Wemmel,1780,1,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14612-christine-lemmens.php
Lemmens,Luk,x,N-VA,x,x,x,33,oui,oui,oui,oui,oui,oui,,,,,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/4325-luk-lemmens.php
Lemmens,Michel,x,PS,Nandrin,Nandrin,4550,16,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/4323-michel-lemmens.php
Lemmens,Tom,x,CD&V,Bekkevoort,Bekkevoort,3460,4,oui,oui,,,,,,,,,,,,,https://www.cumuleo.be/mandataire/16425-tom-lemmens.php
Lemoine,Catherine,Catherine Guisset-Lemoine,MR,Tournai,Doornik,7500,10,oui,oui,oui,oui,oui,,,,,,,oui,oui,oui,https://www.cumuleo.be/mandataire/4320-catherine-lemoine.php
Lemonnier,Martine,Martine Marie Lemonnier,sp.a,x,x,x,9,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/4316-martine-lemonnier.php
Lempereur,Martin,x,cdH,Marche-en-Famenne,Marche-en-Famenne,6900,3,oui,oui,oui,,,,,,,,,,,,https://www.cumuleo.be/mandataire/16252-martin-lempereur.php
Lempereur,Philippe,x,MR,Saint-Léger,Saint-Léger,6747,8,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,https://www.cumuleo.be/mandataire/10643-philippe-lempereur.php
Lenaers,Patrick,x,MR,Etterbeek,Etterbeek,1040,3,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,,,https://www.cumuleo.be/mandataire/11697-patrick-lenaers.php
Lenaerts,Herman,x,CD&V,Vosselaar,Vosselaar,2350,4,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14617-herman-lenaerts.php
Lenaerts,Karel,x,x,Merksplas,Merksplas,2330,3,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/4311-karel-lenaerts.php
Lenaerts,Korneel,x,N-VA,Kampenhout,Kampenhout,1910,7,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14618-korneel-lenaerts.php
Lenaerts,Wouter,x,CD&V,Bekkevoort,Bekkevoort,3460,8,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/4308-wouter-lenaerts.php
Lenfant,Christophe,x,cdH,Gouvy,Gouvy,6671,5,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/4306-christophe-lenfant.php
Lenseclaes,Inge,x,x,Overijse,Overijse,3090,7,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,https://www.cumuleo.be/mandataire/4301-inge-lenseclaes.php
Lenseclaes,Joke,x,N-VA,Overijse,Overijse,3090,8,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14619-joke-lenseclaes.php
Lenssen,Georges,x,Open VLD,Maasmechelen,Maasmechelen,3630,23,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/10045-georges-lenssen.php
Lenzini,Mauro,x,PS,Oupeye,Oupeye,4684,9,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/4297-mauro-lenzini.php
Léonard,Fabrice,x,PS,Lierneux,Lierneux,4990,8,oui,oui,oui,oui,,oui,oui,oui,oui,oui,oui,oui,,,https://www.cumuleo.be/mandataire/4293-fabrice-leonard.php
Léonard,Françoise,x,MR,Andenne,Andenne,5300,8,oui,oui,oui,oui,oui,oui,,,,,,,,,https://www.cumuleo.be/mandataire/13211-francoise-leonard.php
Léonard,Frédéric,x,PS,Ferrières,Ferrières,4190,5,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,https://www.cumuleo.be/mandataire/4292-frederic-leonard.php
Léonard,Laurent,x,PS,Flémalle,Flémalle,4400,9,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/10271-laurent-leonard.php
Léonard,Marie-France,x,MR,Wasseiges,Wasseiges,4219,8,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/4291-marie-france-leonard.php
Leonard,Roland,x,PS,Liège,Luik,4000,14,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/4289-roland-leonard.php
Léonard,Sophie,x,x,Faimes,Faimes,4317,4,oui,oui,,,,,,,,,,,,,https://www.cumuleo.be/mandataire/16590-sophie-leonard.php
Léonard,Véronique,x,PS,Gedinne,Gedinne,5575,4,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/4288-veronique-leonard.php
Léonard,Véronique,x,cdH,Gouvy,Gouvy,6671,5,oui,oui,,,,oui,oui,oui,oui,oui,oui,oui,,,https://www.cumuleo.be/mandataire/4287-veronique-leonard.php
Léonet,Maxime,x,x,Daverdisse,Daverdisse,6929,9,oui,oui,oui,oui,oui,oui,,,,,,,,,https://www.cumuleo.be/mandataire/13213-maxime-leonet.php
Léonet,Thierry,x,PS,Bièvre,Bièvre,5555,5,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/4286-thierry-leonet.php
Léotard,Catherine,x,MR,Froidchapelle,Froidchapelle,6440,6,oui,oui,,,,oui,oui,oui,oui,oui,oui,oui,,,https://www.cumuleo.be/mandataire/4285-catherine-leotard.php
Lepage,Brigitte,x,MR,Philippeville,Philippeville,5600,2,oui,oui,oui,oui,,,,,,,,,,,https://www.cumuleo.be/mandataire/15825-brigitte-lepage.php
Lepape,Mélanie,x,cdH,Leuze-en-Hainaut,Leuze-en-Hainaut,7900,1,oui,oui,oui,oui,oui,oui,,,,,,,,,https://www.cumuleo.be/mandataire/13214-melanie-lepape.php
Lepers,Geoffrey,x,MR,Jette,Jette,1090,15,oui,oui,oui,oui,oui,oui,,,,,,,,,https://www.cumuleo.be/mandataire/13215-geoffrey-lepers.php
Lepine,Jean-Pierre,x,PS,Quaregnon,Quaregnon,7390,13,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/4280-jean-pierre-lepine.php
Lepla,Marleen,x,Open VLD,Ardooie,Ardooie,8850,3,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/4279-marleen-lepla.php
Leroi,Jos,x,CD&V,Diepenbeek,Diepenbeek,3590,6,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14622-jos-leroi.php
Leroy,Marie-Claude,x,PS,Chièvres,Chièvres,7950,2,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14623-marie-claude-leroy.php
Leroy,Paul,x,cdH,Jette,Jette,1090,6,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,https://www.cumuleo.be/mandataire/4258-paul-leroy.php
Leroy,Stéphane,x,PS,Quévy,Quévy,7041,8,oui,oui,,,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/4255-stephane-leroy.php
Leroy,Veerle,x,Groen,Beersel,Beersel,1650,4,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14625-veerle-leroy.php
Lerude,Marie-Paule,x,Ecolo,Havelange,Havelange,5370,9,oui,oui,oui,oui,oui,oui,,,,,,,,,https://www.cumuleo.be/mandataire/13218-marie-paule-lerude.php
Leruse,Claude,x,PS,Gouvy,Gouvy,6671,6,oui,oui,oui,oui,oui,oui,,,,,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/10615-claude-leruse.php
Lerusse,Cédric,x,MR,Rendeux,Rendeux,6987,6,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/4253-cedric-lerusse.php
Lerusse,Didier,x,cdH,Geer,Geer,4250,9,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/4252-didier-lerusse.php
Lesaffre,Martine,x,Open VLD,Ostende,Oostende,8400,12,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/10914-martine-lesaffre.php
Lescot,Carine,Carine Gol-Lescot,MR,Uccle,Ukkel,1180,13,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/4248-carine-lescot.php
Lescrenier,Camille,x,MR,La Roche-en-Ardenne,La Roche-en-Ardenne,6980,10,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,https://www.cumuleo.be/mandataire/4247-camille-lescrenier.php
Lescrenier,Valérie,x,cdH,Marche-en-Famenne,Marche-en-Famenne,6900,12,oui,oui,oui,oui,,,,,,,,,,,https://www.cumuleo.be/mandataire/15828-valerie-lescrenier.php
Lesenfants,Benoît,x,x,Manhay,Manhay,6960,4,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,https://www.cumuleo.be/mandataire/4244-benoit-lesenfants.php
Lespagnard,Bertrand,x,MR,Marche-en-Famenne,Marche-en-Famenne,6900,5,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/10679-bertrand-lespagnard.php
Lespagnard,Roger,x,cdH,Fléron,Fléron,4620,5,oui,oui,oui,oui,oui,oui,oui,oui,,,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/4242-roger-lespagnard.php
Letellier,José,x,PS,Incourt,Incourt,1315,4,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/4239-jose-letellier.php
Leten,Jacques,x,sp.a,Bree,Bree,3960,15,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,https://www.cumuleo.be/mandataire/4237-jacques-leten.php
Leturcq,Fabrice,x,PS,Profondeville,Profondeville,5170,3,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14627-fabrice-leturcq.php
Leunen,Marie-Berte,x,N-VA,Looz,Borgloon,3840,4,oui,oui,,,,,,,,,,,,,https://www.cumuleo.be/mandataire/16592-marie-berte-leunen.php
Leuridant,Mireille,x,MR,Jurbise,Jurbeke,7050,3,oui,oui,oui,oui,oui,oui,,,,,,,,,https://www.cumuleo.be/mandataire/13219-mireille-leuridant.php
Leus,Jantje,x,N-VA,Heers,Heers,3870,2,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14628-jantje-leus.php
Levêque,Nathalie,x,MR,Pepinster,Pepinster,4860,12,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,https://www.cumuleo.be/mandataire/10384-nathalie-leveque.php
Levêque,Vincent,x,PS,Esneux,Esneux,4130,4,oui,oui,oui,oui,oui,oui,,,,,,,,,https://www.cumuleo.be/mandataire/13220-vincent-leveque.php
Lewalle,Marie-Pierre,Marie-Pierre Lambert-Lewalle,cdH,Ottignies-Louvain-la-Neuve,Ottignies-Louvain-la-Neuve,1340,5,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14629-marie-pierre-lewalle.php
Lewyllie,Marc,x,x,Heuvelland,Heuvelland,8950,12,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14630-marc-lewyllie.php
Leyman,François,x,cdH,Lobbes,Lobbes,6540,1,oui,oui,oui,oui,oui,oui,,,,,,,,,https://www.cumuleo.be/mandataire/13221-francois-leyman.php
Leyre,Josiane,Josiane Conrardy-Leyre,Ecolo,x,x,x,5,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14631-josiane-leyre.php
Leys,Karina,Carine Leys,N-VA,Anvers,Antwerpen,2000,13,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14632-karina-leys.php
Leys,Michel,x,CD&V,Lille,Lille,2275,5,oui,oui,,,,,,,,,,,,,https://www.cumuleo.be/mandataire/16594-michel-leys.php
Leys,Walter,x,Open VLD,Saint-Trond,Sint-Truiden,3800,5,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14633-walter-leys.php
Leysen,Johan,x,CD&V,Balen,Balen,2490,8,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/4223-johan-leysen.php
Leyssens,Annemieke,Ann Leyssens,N-VA,Heusden-Zolder,Heusden-Zolder,3550,3,oui,oui,,,,,,,,,,,,,https://www.cumuleo.be/mandataire/16595-annemieke-leyssens.php
Leyzen,Sabine,x,Open VLD,Lierre,Lier,2500,6,oui,oui,oui,oui,oui,oui,oui,oui,,,,,,,https://www.cumuleo.be/mandataire/12052-sabine-leyzen.php
Lhoest,Bruno,x,MR,Chaudfontaine,Chaudfontaine,4053,11,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/4218-bruno-lhoest.php
Lhoest,Victor,x,PS,Herstal,Herstal,4040,5,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/4216-victor-lhoest.php
Lhoir,Caroline,x,Ecolo,Woluwe-Saint-Pierre,Sint-Pieters-Woluwe,1150,6,oui,oui,oui,oui,oui,oui,,,,,,,,,https://www.cumuleo.be/mandataire/13222-caroline-lhoir.php
Lhomme,Philippe,x,PS,Engis,Engis,4480,7,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/4215-philippe-lhomme.php
Lhonnay,Bernard,x,PS,Wanze,Wanze,4520,10,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/4214-bernard-lhonnay.php
Lhoste,Dimitri,x,MR,Namur,Namen,5000,6,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/4213-dimitri-lhoste.php
Libert,Emmanuel,x,cdH,Juprelle,Juprelle,4450,2,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,oui,oui,oui,https://www.cumuleo.be/mandataire/4210-emmanuel-libert.php
Libert,Eric,x,DéFi,Rhode-Saint-Genèse,Sint-Genesius-Rode,1640,2,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/4209-eric-libert.php
Libert,Marc,x,Ecolo,Havelange,Havelange,5370,5,oui,oui,oui,oui,oui,oui,,,,,,,,,https://www.cumuleo.be/mandataire/13224-marc-libert.php
Libion,Josée,x,x,Hamois,Hamois,5363,4,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/4203-josee-libion.php
Libotte,Jean-Pierre,x,cdH,Erquelinnes,Erquelinnes,6560,4,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/4201-jean-pierre-libotte.php
Licata,Vincent,x,x,Nandrin,Nandrin,4550,4,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14636-vincent-licata.php
Lichtfus,Jean-Raymond,x,cdH,Messancy,Messancy,6780,4,oui,oui,oui,oui,oui,oui,,,,,,,,,https://www.cumuleo.be/mandataire/13225-jean-raymond-lichtfus.php
Liebaut,Filip,x,CD&V,Lokeren,Lokeren,9160,5,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/11147-filip-liebaut.php
Liebin,Bernard,x,MR,La Louvière,La Louvière,7100,22,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/4197-bernard-liebin.php
Liefooghe,Gerard,x,CD&V,Alveringem,Alveringem,8690,6,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/4196-gerard-liefooghe.php
Liefsoens,Michiel,x,sp.a,Hasselt,Hasselt,3500,7,oui,oui,oui,oui,oui,oui,oui,oui,,,,,,,https://www.cumuleo.be/mandataire/12321-michiel-liefsoens.php
Liefsoens,Peter,x,CD&V,Hasselt,Hasselt,3500,5,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14637-peter-liefsoens.php
Liégeois,Benoît,x,x,Aubel,Aubel,4880,10,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14638-benoit-liegeois.php
Liégeois,Gérard,x,PS,Dison,Dison,4820,10,oui,oui,oui,oui,oui,oui,,,,,,,,,https://www.cumuleo.be/mandataire/13226-gerard-liegeois.php
Liégeois,Isabelle,x,cdH,Brugelette,Brugelette,7940,7,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14640-isabelle-liegeois.php
Liekens,Danny,x,Open VLD,Steenokkerzeel,Steenokkerzeel,1820,5,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14641-danny-liekens.php
Liénard,Laetitia,x,PS,Tournai,Doornik,7500,4,oui,oui,oui,oui,oui,oui,,,,,,,,,https://www.cumuleo.be/mandataire/13227-laetitia-lienard.php
Liénart van Lidth de Jeude,Diane,Diane de Prêt-Liénart,x,Rhode-Saint-Genèse,Sint-Genesius-Rode,1640,4,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14642-diane-lienart-van-lidth-de-jeude.php
Liénart van Lidth de Jeude,Xavier,x,x,Woluwe-Saint-Lambert,Sint-Lambrechts-Woluwe,1200,12,oui,oui,oui,oui,oui,oui,,,,,,,,,https://www.cumuleo.be/mandataire/13228-xavier-lienart-van-lidth-de-jeude.php
Lierman,Luc,x,Groen,Knokke-Heist,Knokke-Heist,8300,7,oui,oui,,,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/10894-luc-lierman.php
Lierman,Patricia,x,Groen,Zwijndrecht,Zwijndrecht,2070,4,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14643-patricia-lierman.php
Lieten,Sven,x,sp.a,Zonhoven,Zonhoven,3520,6,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/4184-sven-lieten.php
Lievens,Dirk,x,CD&V,Roulers,Roeselare,8800,13,oui,,,,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/9667-dirk-lievens.php
Lievens,Georges,x,CD&V,Jabbeke,Jabbeke,8490,6,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/4183-georges-lievens.php
Lievens,Luc,x,sp.a,Meerhout,Meerhout,2450,6,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14644-luc-lievens.php
Lievens,Paul,x,CD&V,Zottegem,Zottegem,9620,3,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/4182-paul-lievens.php
Lignoul,Anne,x,cdH,Trois-Ponts,Trois-Ponts,4980,5,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14645-anne-lignoul.php
Lijnen,Nele,x,Open VLD,Hechtel-Eksel,Hechtel-Eksel,3940,9,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,https://www.cumuleo.be/mandataire/4179-nele-lijnen.php
Limauge,Alain,x,x,Lasne,Lasne,1380,8,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14646-alain-limauge.php
Limbourg,Johan,x,Open VLD,Lennik,Lennik,1750,6,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14647-johan-limbourg.php
Limpens,Mirella,x,sp.a,Brakel,Brakel,9660,10,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,https://www.cumuleo.be/mandataire/4178-mirella-limpens.php
Linard,Bénédicte,x,Ecolo,Enghien,Edingen,7850,6,oui,oui,oui,oui,oui,oui,,,,,,,,,https://www.cumuleo.be/mandataire/13229-benedicte-linard.php
Linckens,Christiane,x,MR,Plombières,Blieberg,4850,3,oui,oui,,,,,,,,,,,,,https://www.cumuleo.be/mandataire/16597-christiane-linckens.php
Linmans,William,x,x,Hechtel-Eksel,Hechtel-Eksel,3940,5,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14648-william-linmans.php
Linotte,Stéphane,x,MR,Fléron,Fléron,4620,11,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/4173-stephane-linotte.php
Linsen,Louis,x,x,Peer,Peer,3990,3,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14649-louis-linsen.php
Linskens,Roy,x,Open VLD,Boom,Boom,2850,4,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14650-roy-linskens.php
Linthout,Johan,x,CD&V,Roosdaal,Roosdaal,1760,3,oui,oui,oui,oui,,,,,,,,,,,https://www.cumuleo.be/mandataire/15831-johan-linthout.php
Linthout,Martine,Martine D'hooge-Linthout,Open VLD,La Panne,De Panne,8660,3,oui,oui,,,,,,,,,,,,,https://www.cumuleo.be/mandataire/16598-martine-linthout.php
Lippe,Laurent,x,PS,Pont-à-Celles,Pont-à-Celles,6230,8,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14651-laurent-lippe.php
Lippens,Christiaan,x,N-VA,Saint-Gilles-Waes,Sint-Gillis-Waas,9170,10,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/4167-christiaan-lippens.php
Lippens,Leopold,x,CD&V,Knokke-Heist,Knokke-Heist,8300,11,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/4166-leopold-lippens.php
Lips,Rik,x,CD&V,Nieuport,Nieuwpoort,8620,7,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/4162-rik-lips.php
Lisein,Xavier,x,cdH,Braives,Braives,4260,7,oui,oui,oui,oui,oui,oui,oui,oui,,,,,,,https://www.cumuleo.be/mandataire/12237-xavier-lisein.php
Liselele,Denis,x,PS,Sambreville,Sambreville,5060,12,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/4161-denis-liselele.php
Lismont,Eugène,x,cdH,Hélécine,Hélécine,1357,7,oui,oui,oui,oui,oui,oui,,,,,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/4160-eugene-lismont.php
Lismont,Patrick,x,sp.a,Gingelom,Gingelom,3890,5,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/4159-patrick-lismont.php
Lison,Marc,x,MR,Lessines,Lessen,7860,5,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/4158-marc-lison.php
Lixon,Freddy,x,x,Ohey,Ohey,5350,5,oui,,,,,,,,,,,,,,https://www.cumuleo.be/mandataire/16959-freddy-lixon.php
Lodewijckx,Jos,x,CD&V,Mol,Mol,2400,5,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/4149-jos-lodewijckx.php
Lodewijk,Dirk,x,sp.a,Liedekerke,Liedekerke,1770,6,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/4148-dirk-lodewijk.php
Lodewijks,Nico,x,Open VLD,Rotselaar,Rotselaar,3110,17,oui,oui,,,,,,,,,,,,,https://www.cumuleo.be/mandataire/16599-nico-lodewijks.php
Lodez,Alexandre,x,cdH,Theux,Theux,4910,9,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,https://www.cumuleo.be/mandataire/4147-alexandre-lodez.php
Loete,Koen,x,CD&V,Eeklo,Eeklo,9900,6,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/11320-koen-loete.php
Loewenstein,Marc,x,DéFi,Forest,Vorst,1190,7,oui,oui,oui,oui,oui,oui,,,,,,,,,https://www.cumuleo.be/mandataire/13231-marc-loewenstein.php
Logghe,Christine,x,CD&V,Kortemark,Kortemark,8610,5,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14653-christine-logghe.php
Loiseau,Vincent,x,cdH,Dour,Dour,7370,9,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,,,,,https://www.cumuleo.be/mandataire/4142-vincent-loiseau.php
Loix,Ingrid,x,N-VA,Alken,Alken,3570,2,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14654-ingrid-loix.php
Lomba,Eric,x,PS,Marchin,Marchin,4570,14,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,https://www.cumuleo.be/mandataire/10312-eric-lomba.php
Lombaert,Peter,x,Groen,Overijse,Overijse,3090,7,oui,oui,oui,oui,oui,,,,,,,,,,https://www.cumuleo.be/mandataire/14655-peter-lombaert.php
Lombardo,Hélène,x,PS,Oupeye,Oupeye,4684,5,oui,oui,oui,oui,,,,,,,,,,,https://www.cumuleo.be/mandataire/15834-helene-lombardo.php
