"list","zipcode","city"
"BOURGMESTRE",6640,"Vaux-sur-Sûre"
"BOURGMESTRE",6180,"Courcelles"
"BOURGMESTRE",6940,"Durbuy"
"BOURGMESTRE",6850,"Paliseul"
"BOURGMESTRE",6690,"Vielsalm"
"BOURGMESTRE +",4550,"Nandrin"
"BRAINE",7090,"Braine-le-Comte"
"Bassenge Demain",4690,"Bassenge"
"Be Frameries",7080,"Frameries"
"Bel Elan",7972,"Beloeil"
"Bleu de Wanze",4520,"Wanze"
"Bourgmestre",4870,"Trooz"
"Bourgmestre",4140,"Sprimont"
"C+",6000,"Charleroi"
"C.H",1357,"Hélécine"
"C.H.E",5660,"Couvin"
"C.PLUS",7340,"Colfontaine"
"C.S.V.",7940,"Brugelette"
"C.U.P.",6820,"Florenville"
"C@P Citoyens",6830,"Bouillon"
"CA",6000,"Charleroi"
"CAP 2018",6870,"Saint-Hubert"
"CAP 2030",6680,"Sainte-Ode"
"CAP 2030 - IC",5580,"Rochefort"
"CAP BELOEIL",7972,"Beloeil"
"CD@",5680,"Doische"
"CDH",4100,"Seraing"
"CDH",6230,"Pont-à-Celles"
"CDH",6540,"Lobbes"
"CDH",7700,"Mouscron"
"CDH",6180,"Courcelles"
"CDH",5000,"Namur"
"CDH",4800,"Verviers"
"CDH",6280,"Gerpinnes"
"CDH",4000,"Liège"
"CDH",6760,"Virton"
"CDH",4684,"Oupeye"
"CDH",4140,"Sprimont"
"CDH ET PLUS ",7170,"Manage"
"CDH PLUS",5060,"Sambreville"
"CDH-ECOLO+",4610,"Beyne-Heusay"
"CDH-Ensemble",1400,"Nivelles"
"CDH-RCA",4430,"Ans"
"CDH.com",6791,"Aubange"
"CERF+",5630,"Cerfontaine"
"CH+",1300,"Wavre"
"CHANGEONS !",6940,"Durbuy"
"CHARLIER",5650,"Walcourt"
"CI-LdB",5140,"Sombreffe"
"CITOYENS",6760,"Virton"
"CITOYENS +",6600,"Bastogne"
"CLE",5590,"Ciney"
"CLE",6460,"Chimay"
"CM",4350,"Remicourt"
"COM. PASSION",6680,"Sainte-Ode"
"COMM'1ACTION",6929,"Daverdisse"
"COMM'VOUS",6690,"Vielsalm"
"CONFIANCE",5550,"Vresse-sur-Semois"
"CONTACT 21",5620,"Florennes"
"CUM LUPIS",7100,"La Louvière"
"CVN ",5660,"Couvin"
"Cap Communal",6120,"Ham-sur-Heure-Nalinnes"
"Cel'Avenir",,
"Ch-Ensemble",4845,"Jalhay"
"Changeons Ens.",4830,"Limbourg"
"Changer",7380,"Quiévrain"
"Chastre20+",1450,"Chastre"
"Chastre@venir",1450,"Chastre"
"Chevi2018",6800,"Libramont-Chevigny"
"Chrétien",7130,"Binche"
"CiM",4160,"Anthisnes"
"Citoyen",7390,"Quaregnon"
"Citoyen Go ",4630,"Soumagne"
"Citoyen Lens",7870,"Lens"
"Citoyen d'Europe M3E",1350,"Orp-Jauche"
"CitoyenS!",4970,"Stavelot"
"Citoyens",7000,"Mons"
"Citoyens",6210,"Les Bons Villers"
"Code 4367 !",4367,"Crisnée"
"Comm1Passion",6940,"Durbuy"
"Commune en Vie",6730,"Tintigny"
"Community",7740,"Pecq"
"CréonsDemain",1470,"Genappe"
"D ici 2024",6920,"Wellin"
"D&B",,
"DEFI",5060,"Sambreville"
"DEFI",4860,"Pepinster"
"DEMAIN",6280,"Gerpinnes"
"DINANT",5500,"Dinant"
"DM",7800,"Ath"
"DOUR DEMAIN",7370,"Dour"
"DRC+",1360,"Perwez"
"DYN@M'IC",6870,"Saint-Hubert"
"DalhemDemain",4607,"Dalhem"
"DcM",6950,"Nassogne"
"Din.Autrement",5500,"Dinant"
"DéFI",5030,"Gembloux"
"DéFI",6110,"Montigny-le-Tilleul"
"DéFI",4000,"Liège"
"DéFI",7830,"Silly"
"DéFI",1340,"Ottignies-Louvain-la-Neuve"
"DéFI",4100,"Seraing"
"DéFI",6220,"Fleurus"
"DéFI",6150,"Anderlues"
"DéFI",4800,"Verviers"
"DéFI",4053,"Chaudfontaine"
"DéFI",1480,"Tubize"
"DéFI",6530,"Thuin"
"DéFI",4260,"Braives"
"DéFI",1410,"Waterloo"
"DéFI",7860,"Lessines"
"DéFI",1400,"Nivelles"
"DéFI",7000,"Mons"
"DéFI",5000,"Namur"
"DéFI",6900,"Marche-en-Famenne"
"DéFI",6200,"Châtelet"
"DéFI",1310,"La Hulpe"
"DéFI",1380,"Lasne"
"DéFI",6230,"Pont-à-Celles"
"DéFI",7130,"Binche"
"DéFI",7900,"Leuze-en-Hainaut"
"DéFI",7500,"Tournai"
"DéFI",7100,"La Louvière"
"DéFI",1330,"Rixensart"
"DéFI",5150,"Floreffe"
"DéFI",1300,"Wavre"
"DéFI",7800,"Ath"
"DéFI",6440,"Froidchapelle"
"DéFI",5190,"Jemeppe-sur-Sambre"
"DéFI",6120,"Ham-sur-Heure-Nalinnes"
"DéFI",4040,"Herstal"
"DéFI",,
"DéFI",5140,"Sombreffe"
"DéFI",6000,"Charleroi"
"DéFI Citoyens",1390,"Grez-Doiceau"
"DéFI pour ANS",4430,"Ans"
"DéFIpourHUY",4500,"Huy"
"Défi",4130,"Esneux"
"Défi",6180,"Courcelles"
"Député-Maire",6810,"Chiny"
"E Bourgmestre",7350,"Hensies"
"E+",6220,"Fleurus"
"E+",4480,"Engis"
"E.C.",6990,"Hotton"
"E.P.I.",1460,"Ittre"
"EB",5570,"Beauraing"
"EC",4260,"Braives"
"EC",6440,"Froidchapelle"
"EC",4590,"Ouffet"
"EC",7170,"Manage"
"EC 2.0",4350,"Remicourt"
"ECA",1430,"Rebecq"
"ECD",4170,"Comblain-au-Pont"
"ECD",5550,"Vresse-sur-Semois"
"ECHO",6750,"Musson"
"ECHO",7300,"Boussu"
"ECHOS-CIT'",4340,"Awans"
"ECI",5520,"Onhaye"
"ECOLO",6250,"Aiseau-Presles"
"ECOLO",5150,"Floreffe"
"ECOLO",4800,"Verviers"
"ECOLO",5330,"Assesse"
"ECOLO",5560,"Houyet"
"ECOLO",,
"ECOLO",4877,"Olne"
"ECOLO",5140,"Sombreffe"
"ECOLO",4400,"Flémalle"
"ECOLO",4257,"Berloz"
"ECOLO",1480,"Tubize"
"ECOLO",4367,"Crisnée"
"ECOLO",7940,"Brugelette"
"ECOLO",7320,"Bernissart"
"ECOLO",4570,"Marchin"
"ECOLO",4430,"Ans"
"ECOLO",1320,"Beauvechain"
"ECOLO",5600,"Philippeville"
"ECOLO",6210,"Les Bons Villers"
"ECOLO",4910,"Theux"
"ECOLO",7890,"Ellezelles"
"ECOLO",1390,"Grez-Doiceau"
"ECOLO",1370,"Jodoigne"
"ECOLO",1300,"Wavre"
"ECOLO",1430,"Rebecq"
"ECOLO",6530,"Thuin"
"ECOLO",4540,"Amay"
"ECOLO",6690,"Vielsalm"
"ECOLO",7730,"Estaimpuis"
"ECOLO",5170,"Profondeville"
"ECOLO",1330,"Rixensart"
"ECOLO",5380,"Fernelmont"
"ECOLO",7100,"La Louvière"
"ECOLO",,
"ECOLO",6230,"Pont-à-Celles"
"ECOLO",1325,"Chaumont-Gistoux"
"ECOLO",4620,"Fléron"
"ECOLO",1315,"Incourt"
"ECOLO",7900,"Leuze-en-Hainaut"
"ECOLO",6540,"Lobbes"
"ECOLO",6850,"Paliseul"
"ECOLO",4170,"Comblain-au-Pont"
"ECOLO",5620,"Florennes"
"ECOLO",5580,"Rochefort"
"ECOLO",1457,"Walhain"
"ECOLO",7060,"Soignies"
"ECOLO",7700,"Mouscron"
"ECOLO",7911,"Frasnes-lez-Anvaing"
"ECOLO",,
"ECOLO",7090,"Braine-le-Comte"
"ECOLO",7170,"Manage"
"ECOLO",4690,"Bassenge"
"ECOLO",4500,"Huy"
"ECOLO",7600,"Péruwelz"
"ECOLO",7800,"Ath"
"ECOLO",1380,"Lasne"
"ECOLO",6180,"Courcelles"
"ECOLO",4820,"Dison"
"ECOLO",5350,"Ohey"
"ECOLO",7070,"Le Roeulx"
"ECOLO",6880,"Bertrix"
"ECOLO",,
"ECOLO",7370,"Dour"
"ECOLO",6720,"Habay"
"ECOLO",6200,"Châtelet"
"ECOLO",7950,"Chièvres"
"ECOLO",5070,"Fosses-la-Ville"
"ECOLO",7160,"Chapelle-lez-Herlaimont"
"ECOLO",6800,"Libramont-Chevigny"
"ECOLO",1450,"Chastre"
"ECOLO",6900,"Marche-en-Famenne"
"ECOLO",4530,"Villers-le-Bouillet"
"ECOLO",5060,"Sambreville"
"ECOLO",5363,"Hamois"
"ECOLO",5340,"Gesves"
"ECOLO",4840,"Welkenraedt"
"ECOLO",4520,"Wanze"
"ECOLO",4120,"Neupré"
"ECOLO",4920,"Aywaille"
"ECOLO",4550,"Nandrin"
"ECOLO",5030,"Gembloux"
"ECOLO",,
"ECOLO",1310,"La Hulpe"
"ECOLO",4480,"Engis"
"ECOLO",1340,"Ottignies-Louvain-la-Neuve"
"ECOLO",1410,"Waterloo"
"ECOLO",4260,"Braives"
"ECOLO",,
"ECOLO",4130,"Esneux"
"ECOLO",,
"ECOLO",4470,"Saint-Georges-sur-Meuse"
"ECOLO",7130,"Binche"
"ECOLO",7380,"Quiévrain"
"ECOLO",6940,"Durbuy"
"ECOLO",5640,"Mettet"
"ECOLO",4280,"Hannut"
"ECOLO",5000,"Namur"
"ECOLO",5660,"Couvin"
"ECOLO",7000,"Mons"
"ECOLO",4460,"Grâce-Hollogne"
"ECOLO",1440,"Braine-le-Château"
"ECOLO",5370,"Havelange"
"ECOLO",5590,"Ciney"
"ECOLO",4100,"Seraing"
"ECOLO",7780,"Comines-Warneton"
"ECOLO",7180,"Seneffe"
"ECOLO",7500,"Tournai"
"ECOLO",7870,"Lens"
"ECOLO",1367,"Ramillies"
"ECOLO",7830,"Silly"
"ECOLO",1435,"Mont-Saint-Guibert"
"ECOLO",7860,"Lessines"
"ECOLO",6110,"Montigny-le-Tilleul"
"ECOLO",6000,"Charleroi"
"ECOLO",1400,"Nivelles"
"ECOLO & MC",5575,"Gedinne"
"ECOLO OuVert",4218,"Héron"
"ECOLO VERS DEMAIN",5650,"Walcourt"
"ECOLO plus",4630,"Soumagne"
"ECOLO+",6700,"Arlon"
"ECOLO+",6760,"Virton"
"ECOVA",4870,"Trooz"
"ECm",4960,"Malmedy"
"EDD",7041,"Quévy"
"EDF",4317,"Faimes"
"EIC",4890,"Thimister-Clermont"
"EM",5540,"Hastière"
"EMC",5540,"Hastière"
"EMC",7120,"Estinnes"
"ENGAGÉS POUR",4684,"Oupeye"
"ENS.DEMAIN",6720,"Habay"
"ENSEMBLE",6860,"Léglise"
"ENSEMBLE",4360,"Oreye"
"ENSEMBLE",7780,"Comines-Warneton"
"ENSEMBLE",4210,"Burdinne"
"ENSEMBLE",7060,"Soignies"
"ENSEMBLE",4980,"Trois-Ponts"
"ENSEMBLE",6950,"Nassogne"
"ENSEMBLE",4530,"Villers-le-Bouillet"
"ENSEMBLE",6830,"Bouillon"
"ENSEMBLE",6671,"Gouvy"
"ENSEMBLE",6250,"Aiseau-Presles"
"ENSEMBLE",5680,"Doische"
"ENSEMBLE",4470,"Saint-Georges-sur-Meuse"
"ENSEMBLE",6717,"Attert"
"ENSEMBLE",4560,"Clavier"
"ENSEMBLE",6960,"Manhay"
"ENSEMBLE",1470,"Genappe"
"ENSEMBLE",6880,"Bertrix"
"ENSEMBLE",4990,"Lierneux"
"ENSEMBLE EA",6760,"Virton"
"ENSEMBLE P. V.",1495,"Villers-la-Ville"
"ENVOL@FEXHE",4347,"Fexhe-le-Haut-Clocher"
"EPF",5380,"Fernelmont"
"EPH",4650,"Herve"
"EPI",1315,"Incourt"
"EPV",5555,"Bièvre"
"EPV",,
"EPY",5530,"Yvoir"
"ERC",6927,"Tellin"
"Ecolo-Vrai",7390,"Quaregnon"
"Ecout@",6747,"Saint-Léger"
"En Marge",7620,"Brunehaut"
"En Mouvement",7850,"Enghien"
"En avant",5540,"Hastière"
"EngiSolidair",4480,"Engis"
"Ensemble",6470,"Sivry-Rance"
"Ensemble",4840,"Welkenraedt"
"Ensemble",7090,"Braine-le-Comte"
"Ensemble",4920,"Aywaille"
"Ensemble",,
"Ensemble",4610,"Beyne-Heusay"
"Ensemble !",7500,"Tournai"
"Ensemble 2018",5363,"Hamois"
"Ensemble Engh.",7850,"Enghien"
"Ensemble!",4600,"Visé"
"Ensemble!",1360,"Perwez"
"Ent.Citoyenne",4218,"Héron"
"Envie Commune",4190,"Ferrières"
"FARCITOYENNE ",6240,"Farciennes"
"FCC",4190,"Ferrières"
"FLEUR""U""",6220,"Fleurus"
"FLOBECQ-VIVA",7880,"Flobecq"
"Fauvillers Demain",6637,"Fauvillers"
"G&S",6660,"Houffalize"
"G.C.",6987,"Rendeux"
"GAUCHE",6150,"Anderlues"
"GC",6687,"Bertogne"
"GCR",4570,"Marchin"
"GE",4250,"Geer"
"GEDINNE 2018",5575,"Gedinne"
"GEM",5340,"Gesves"
"GO",6767,"Rouvroy"
"GO",7740,"Pecq"
"GO",7640,"Antoing"
"GP",7120,"Estinnes"
"Go ! Chapelle",7160,"Chapelle-lez-Herlaimont"
"GénérationS4530",4530,"Villers-le-Bouillet"
"Générations",4053,"Chaudfontaine"
"H+",4280,"Hannut"
"H. CITOYEN",7911,"Frasnes-lez-Anvaing"
"H12.O",6990,"Hotton"
"H2018",5370,"Havelange"
"HAV'ENIR",5370,"Havelange"
"HD",7387,"Honnelles"
"HDM",4650,"Herve"
"HORIZON 2018",5575,"Gedinne"
"HORIZON 2024",6890,"Libin"
"HORIZON NEUF",6671,"Gouvy"
"HORIZONS",6280,"Gerpinnes"
"Horizon",4350,"Remicourt"
"Horizon 2024",6750,"Musson"
"Houffalize +",6660,"Houffalize"
"Humanistes",7050,"Jurbise"
"I C",7618,"Rumes"
"I.C",6590,"Momignies"
"I.C.",4560,"Clavier"
"I.C.",4400,"Flémalle"
"I.C.",1320,"Beauvechain"
"I.C.N.",6950,"Nassogne"
"I.C.V",4537,"Verlaine"
"IC",1460,"Ittre"
"IC",7070,"Le Roeulx"
"IC",4450,"Juprelle"
"IC",,
"IC",4557,"Tinlot"
"IC",6560,"Erquelinnes"
"IC",4257,"Berloz"
"IC",7620,"Brunehaut"
"IC",4357,"Donceel"
"IC",6530,"Thuin"
"IC",1300,"Wavre"
"IC",,
"IC",6230,"Pont-à-Celles"
"IC",4170,"Comblain-au-Pont"
"IC",,
"IC",,
"IC",4250,"Geer"
"IC",1367,"Ramillies"
"IC - MR",5140,"Sombreffe"
"IC FLERON",4620,"Fléron"
"IC Tenneville",6970,"Tenneville"
"IC+",6760,"Virton"
"ICAP",5640,"Mettet"
"ICGF",4317,"Faimes"
"ICI",6500,"Beaumont"
"ICI ",5590,"Ciney"
"ICI Soumagne",4630,"Soumagne"
"ICM",6780,"Messancy"
"ICO",5520,"Onhaye"
"ICOM",4180,"Hamoir"
"ICdh",4670,"Blegny"
"ID!",5500,"Dinant"
"IFR",4910,"Theux"
"IG",6791,"Aubange"
"INT. BRAINOIS",,
"INT. CITOYENS",5570,"Beauraing"
"Idées",7900,"Leuze-en-Hainaut"
"J'M",1370,"Jodoigne"
"J.A.U.R.E.S.",7370,"Dour"
"JEM",5190,"Jemeppe-sur-Sambre"
"JEXISTE",7300,"Boussu"
"JEXISTE",5500,"Dinant"
"JSD",4845,"Jalhay"
"KAYOUX",1340,"Ottignies-Louvain-la-Neuve"
"L B L C P",7880,"Flobecq"
"L Bourgmestre",4970,"Stavelot"
"L'ESSENTIEL",6660,"Houffalize"
"L'essentiel",7972,"Beloeil"
"L.Bourgmestre",,
"L.d. Mayeur @ Vous",4990,"Lierneux"
"LA DROITE",5060,"Sambreville"
"LA DROITE",6560,"Erquelinnes"
"LA DROITE",7000,"Mons"
"LA DROITE",7370,"Dour"
"LA DROITE",4280,"Hannut"
"LA DROITE",4100,"Seraing"
"LA DROITE",7300,"Boussu"
"LA DROITE",7080,"Frameries"
"LA DROITE",4800,"Verviers"
"LA DROITE",5600,"Philippeville"
"LA DROITE",1400,"Nivelles"
"LA DROITE",1300,"Wavre"
"LA DROITE",6200,"Châtelet"
"LA DROITE",6000,"Charleroi"
"LA DROITE",7340,"Colfontaine"
"LB",7830,"Silly"
"LB",7890,"Ellezelles"
"LB",1300,"Wavre"
"LB",4340,"Awans"
"LB",1310,"La Hulpe"
"LB",4218,"Héron"
"LB",5530,"Yvoir"
"LB",1400,"Nivelles"
"LB",7050,"Jurbise"
"LB",4840,"Welkenraedt"
"LB",7180,"Seneffe"
"LB ECOLO",7850,"Enghien"
"LC",1310,"La Hulpe"
"LDB",5500,"Dinant"
"LDB - CDH",6600,"Bastogne"
"LDB+",5380,"Fernelmont"
"LDM",4830,"Limbourg"
"LDP",,
"LE BON SENS",4877,"Olne"
"LE RENOUVEAU",6637,"Fauvillers"
"LETSGO 18",6927,"Tellin"
"LHS",4900,"Spa"
"LIBR envol",6800,"Libramont-Chevigny"
"LISTE ATHOISE",7800,"Ath"
"LISTE MAÏEUR",7387,"Honnelles"
"LLC",1435,"Mont-Saint-Guibert"
"LM",7940,"Brugelette"
"LOB2.0",6540,"Lobbes"
"LOCaLe",1340,"Ottignies-Louvain-la-Neuve"
"LRPS",4287,"Lincent"
"La Droite ",6240,"Farciennes"
"La Relève",5530,"Yvoir"
"Le Renouveau",5300,"Andenne"
"Le blé qui lève",6920,"Wellin"
"Lens & Vous",7870,"Lens"
"Les Communaux",7940,"Brugelette"
"Libr@Vous",6800,"Libramont-Chevigny"
"Limbourg*oise",4830,"Limbourg"
"Liste Mayeur",4347,"Fexhe-le-Haut-Clocher"
"Liste Mayeur",5190,"Jemeppe-sur-Sambre"
"Liste Mayeur",,
"LuttOuvrière",7100,"La Louvière"
"Lx en Mieux !",4990,"Lierneux"
"M+",7140,"Morlanwelz"
"M-R",4570,"Marchin"
"MAYEUR",,
"MAÏEUR",,
"MCER",4480,"Engis"
"MCI",7780,"Comines-Warneton"
"MCS Citoyen",4140,"Sprimont"
"MDC",7870,"Lens"
"MICS",5170,"Profondeville"
"MIL",6470,"Sivry-Rance"
"MOTIV'Action",5560,"Houyet"
"MPE",4000,"Liège"
"MPE",4820,"Dison"
"MPE",4620,"Fléron"
"MR",4800,"Verviers"
"MR",6110,"Montigny-le-Tilleul"
"MR",7500,"Tournai"
"MR",6000,"Charleroi"
"MR",6250,"Aiseau-Presles"
"MR",5300,"Andenne"
"MR",4100,"Seraing"
"MR",7120,"Estinnes"
"MR",4460,"Grâce-Hollogne"
"MR",5000,"Namur"
"MR",4670,"Blegny"
"MR",4130,"Esneux"
"MR",1410,"Waterloo"
"MR",7080,"Frameries"
"MR",5030,"Gembloux"
"MR",7950,"Chièvres"
"MR",,
"MR",6200,"Châtelet"
"MR",7800,"Ath"
"MR",,
"MR",4500,"Huy"
"MR",4400,"Flémalle"
"MR",5640,"Mettet"
"MR",7140,"Morlanwelz"
"MR",4120,"Neupré"
"MR",4820,"Dison"
"MR",7911,"Frasnes-lez-Anvaing"
"MR",7170,"Manage"
"MR",7060,"Soignies"
"MR",7700,"Mouscron"
"MR",7900,"Leuze-en-Hainaut"
"MR",4600,"Visé"
"MR",7880,"Flobecq"
"MR",7300,"Boussu"
"MR",6230,"Pont-à-Celles"
"MR",7340,"Colfontaine"
"MR",1460,"Ittre"
"MR",,
"MR",7890,"Ellezelles"
"MR",6120,"Ham-sur-Heure-Nalinnes"
"MR",5600,"Philippeville"
"MR",6530,"Thuin"
"MR",1480,"Tubize"
"MR",4040,"Herstal"
"MR",1495,"Villers-la-Ville"
"MR",6240,"Farciennes"
"MR",6700,"Arlon"
"MR",7850,"Enghien"
"MR",4900,"Spa"
"MR",6567,"Merbes-le-Château"
"MR & Citoyens",7333,"Saint-Ghislain"
"MR & Citoyens",5060,"Sambreville"
"MR - ENSEMBLE",7860,"Lessines"
"MR - IC",7600,"Péruwelz"
"MR - IC",1380,"Lasne"
"MR pour Liège",4000,"Liège"
"MR+",7041,"Quévy"
"MR+cdH",1470,"Genappe"
"MR-CDH-IC",4160,"Anthisnes"
"MR-CHE",,
"MR-CI",7130,"Binche"
"MR-EC",5650,"Walcourt"
"MR-ELD",4870,"Trooz"
"MR-IC",7100,"La Louvière"
"MR-IC",6210,"Les Bons Villers"
"MR-IC",5660,"Couvin"
"MR-IC",4430,"Ans"
"MR-IC",5680,"Doische"
"MR-IC",5630,"Cerfontaine"
"MR-IC-EJS",4845,"Jalhay"
"MR-PS",6590,"Momignies"
"MR-cdH-ECOLO",4287,"Lincent"
"MSG ",1435,"Mont-Saint-Guibert"
"MSG Cohésion",1435,"Mont-Saint-Guibert"
"MVE",6630,"Martelange"
"MVW",1410,"Waterloo"
"MaRche2018-MR",6900,"Marche-en-Famenne"
"Mayeur",6747,"Saint-Léger"
"Mayeur CDH",6900,"Marche-en-Famenne"
"Maïeur",4607,"Dalhem"
"Mieux Demain",,
"Mons en Mieux!",7000,"Mons"
"NAP-MR",1330,"Rixensart"
"NATION",7600,"Péruwelz"
"NATION",4430,"Ans"
"NATION",7500,"Tournai"
"NATION",7972,"Beloeil"
"NATION",6590,"Momignies"
"NATION",4800,"Verviers"
"NATION",5670,"Viroinval"
"NATION",6870,"Saint-Hubert"
"NATION",5000,"Namur"
"NATION",5380,"Fernelmont"
"NENA",1320,"Beauvechain"
"NEWPRE",4120,"Neupré"
"NOUVEAU V.",4800,"Verviers"
"NUC",6780,"Messancy"
"NWA-NATION",6000,"Charleroi"
"Nation",5660,"Couvin"
"O.C",7940,"Brugelette"
"O.C.",1430,"Rebecq"
"OBJEC.-CITOYEN",,
"OCH",1357,"Hélécine"
"OCP",4850,"Plombières"
"OLLN 2.0-MR ",1340,"Ottignies-Louvain-la-Neuve"
"OSE",4577,"Modave"
"OSER",4845,"Jalhay"
"OSER",5330,"Assesse"
"OSER cdH",7860,"Lessines"
"OSONS!",6110,"Montigny-le-Tilleul"
"OUI Visé",4600,"Visé"
"OXY+",6120,"Ham-sur-Heure-Nalinnes"
"OXYGENE",,
"OXYGENE",6000,"Charleroi"
"OXYGÈNE",5363,"Hamois"
"OXYGÈNE-I.C.",7320,"Bernissart"
"Obj.Citoyens",4840,"Welkenraedt"
"Ohey Plus",5350,"Ohey"
"Osez O.C.",6970,"Tenneville"
"Osons !",7333,"Saint-Ghislain"
"Osons Spa",4900,"Spa"
"Osonschanger",7350,"Hensies"
"Oxygène",5330,"Assesse"
"Oxygène",5640,"Mettet"
"Oxygène",7500,"Tournai"
"Oxygène",6530,"Thuin"
"Oxygène",5000,"Namur"
"Oxygène",7340,"Colfontaine"
"Oxygène-Autre",5650,"Walcourt"
"PACTE",1460,"Ittre"
"PACTE",1350,"Orp-Jauche"
"PASSION COMMUNE",6730,"Tintigny"
"PEPIN",4860,"Pepinster"
"PEPS",5170,"Profondeville"
"PHA",7387,"Honnelles"
"PIRATE",1480,"Tubize"
"PLUS",4840,"Welkenraedt"
"PLUS & CDH",7100,"La Louvière"
"POM",4577,"Modave"
"POUR",5670,"Viroinval"
"POUR",4837,"Baelen"
"POUR !",6929,"Daverdisse"
"POUR CHÂTELET",6200,"Châtelet"
"POUR LAVENIR",7972,"Beloeil"
"POUR OLNE",4877,"Olne"
"POUR TOUS",4990,"Lierneux"
"POUR WAREMME",4300,"Waremme"
"POURQUOI PAS",6860,"Léglise"
"PP",4980,"Trois-Ponts"
"PP",7100,"La Louvière"
"PP",4910,"Theux"
"PP",6230,"Pont-à-Celles"
"PP",7300,"Boussu"
"PP",1470,"Genappe"
"PP",7730,"Estaimpuis"
"PP",4219,"Wasseiges"
"PP",7340,"Colfontaine"
"PP",,
"PP",1300,"Wavre"
"PP",5060,"Sambreville"
"PP",4684,"Oupeye"
"PP",7000,"Mons"
"PP",4100,"Seraing"
"PP",5000,"Namur"
"PP",4460,"Grâce-Hollogne"
"PP",,
"PP",6460,"Chimay"
"PP",4520,"Wanze"
"PP",4260,"Braives"
"PP",1340,"Ottignies-Louvain-la-Neuve"
"PP",7080,"Frameries"
"PP",4870,"Trooz"
"PP",4340,"Awans"
"PP",6600,"Bastogne"
"PP",7333,"Saint-Ghislain"
"PP",4360,"Oreye"
"PP",4300,"Waremme"
"PP",6470,"Sivry-Rance"
"PP",4820,"Dison"
"PP",,
"PP",4000,"Liège"
"PP",4500,"Huy"
"PP",6500,"Beaumont"
"PP",1480,"Tubize"
