"id","city","zipcode"
348,"Auderghem",1160
349,"Auderghem",1160
350,"Auderghem",1160
351,"Auderghem",1160
352,"Auderghem",1160
353,"Auderghem",1160
354,"Auderghem",1160
355,"Avelgem",8580
356,"Avelgem",8580
357,"Avelgem",8580
358,"Avelgem",8580
359,"Avelgem",8580
360,"Avelgem",8580
361,"Avelgem",8580
362,"Avelgem",8580
363,"Awans",4340
364,"Awans",4340
365,"Awans",4340
366,"Awans",4340
367,"Awans",4340
368,"Awans",4340
369,"Awans",4340
370,"Awans",4340
371,"Awans",4340
372,"Aywaille",4920
373,"Aywaille",4920
374,"Aywaille",4920
375,"Aywaille",4920
376,"Aywaille",4920
377,"Aywaille",4920
378,"Aywaille",4920
379,"Aywaille",4920
380,"Aywaille",4920
381,"Baelen",4837
382,"Baelen",4837
383,"Baelen",4837
384,"Baelen",4837
385,"Baelen",4837
386,"Baerle-Duc",2387
387,"Baerle-Duc",2387
388,"Baerle-Duc",2387
389,"Baerle-Duc",2387
390,"Balen",2490
391,"Balen",2490
392,"Balen",2490
393,"Balen",2490
394,"Balen",2490
395,"Balen",2490
396,"Balen",2490
397,"Balen",2490
398,"Bassenge",4690
399,"Bassenge",4690
400,"Bassenge",4690
401,"Bassenge",4690
402,"Bassenge",4690
403,"Bassenge",4690
404,"Bastogne",6600
405,"Bastogne",6600
406,"Bastogne",6600
407,"Bastogne",6600
408,"Bastogne",6600
409,"Bastogne",6600
410,"Bastogne",6600
411,"Bastogne",6600
412,"Bastogne",6600
413,"Bastogne",6600
414,"Bastogne",6600
415,"Beaumont",6500
416,"Beaumont",6500
417,"Beaumont",6500
418,"Beaumont",6500
419,"Beaumont",6500
420,"Beaumont",6500
421,"Beaumont",6500
422,"Beaumont",6500
423,"Beaumont",6500
424,"Beaumont",6500
425,"Beauraing",5570
426,"Beauraing",5570
427,"Beauraing",5570
428,"Beauraing",5570
429,"Beauraing",5570
430,"Beauraing",5570
431,"Beauraing",5570
432,"Beauraing",5570
433,"Beauraing",5570
434,"Beauraing",5570
435,"Beauvechain",1320
436,"Beauvechain",1320
437,"Beauvechain",1320
438,"Beauvechain",1320
439,"Beauvechain",1320
440,"Beauvechain",1320
441,"Beauvechain",1320
442,"Beauvechain",1320
443,"Beauvechain",1320
444,"Beernem",8730
445,"Beernem",8730
446,"Beernem",8730
447,"Beernem",8730
448,"Beernem",8730
449,"Beernem",8730
450,"Beernem",8730
451,"Beernem",8730
452,"Beernem",8730
453,"Beernem",8730
454,"Beerse",2340
455,"Beerse",2340
456,"Beerse",2340
457,"Beerse",2340
458,"Beerse",2340
459,"Beerse",2340
460,"Beerse",2340
461,"Beersel",1650
